epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.94508,0.11802,1,1,0.08783,0,0,0
2,5.24657,0.13879,1,1,0.08513,1.22525e-05,1.22525e-05,1.22525e-05
3,5.87144,0.11616,1,1,0.08219,2.401e-05,2.401e-05,2.401e-05
4,6.52732,0.12802,1,1,0.08288,3.52725e-05,3.52725e-05,3.52725e-05
5,7.1365,0.09558,1,1,0.07836,4.604e-05,4.604e-05,4.604e-05
6,7.76624,0.12976,1,1,0.07314,5.63125e-05,5.63125e-05,5.63125e-05
7,8.11668,0.09488,1,1,0.07354,6.609e-05,6.609e-05,6.609e-05
8,8.57498,0.0763,1,1,0.07111,7.53725e-05,7.53725e-05,7.53725e-05
9,9.01647,0.1045,1,1,0.06615,8.416e-05,8.416e-05,8.416e-05
10,9.31547,0.1076,1,1,0.0629,9.24525e-05,9.24525e-05,9.24525e-05
11,9.71798,0.10804,1,1,0.06123,0.00010025,0.00010025,0.00010025
12,10.1384,0.07018,1,1,0.05675,0.000107553,0.000107553,0.000107553
13,10.6072,0.06616,1,1,0.05299,0.00011436,0.00011436,0.00011436
14,11.5148,0.08452,1,1,0.04625,0.000120672,0.000120672,0.000120672
15,12.1584,0.0871,1,1,0.03841,0.00012649,0.00012649,0.00012649
16,12.6233,0.06537,1,1,0.0316,0.000131813,0.000131813,0.000131813
17,13.0665,0.07013,1,1,0.02833,0.00013664,0.00013664,0.00013664
18,13.3871,0.06733,1,1,0.02833,0.000140972,0.000140972,0.000140972
19,13.8144,0.06164,1,1,0.02246,0.00014481,0.00014481,0.00014481
20,14.1972,0.14335,1,1,0.02246,0.000148153,0.000148153,0.000148153
21,14.8482,0.05466,1,1,0.0182,0.000151,0.000151,0.000151
22,16.5506,0.0282,1,1,0.0182,0.000153353,0.000153353,0.000153353
23,18.5137,0.0402,1,1,0.01513,0.00015521,0.00015521,0.00015521
24,20.097,0.03839,1,1,0.01513,0.000156573,0.000156573,0.000156573
25,21.4847,0.02175,1,1,0.01181,0.00015744,0.00015744,0.00015744
26,22.5823,0.03832,1,1,0.01181,0.000157812,0.000157812,0.000157812
27,23.7287,0.03973,1,1,0.00912,0.00015769,0.00015769,0.00015769
28,24.9247,0.04762,1,1,0.00912,0.000157072,0.000157072,0.000157072
29,25.9786,0.02508,1,1,0.00862,0.00015596,0.00015596,0.00015596
30,27.3706,0.03768,1,1,0.00862,0.000154352,0.000154352,0.000154352
31,28.554,0.05492,1,1,0.00675,0.00015225,0.00015225,0.00015225
32,29.8906,0.02869,1,1,0.00675,0.000149652,0.000149652,0.000149652
33,31.4318,0.03136,1,1,0.00563,0.00014656,0.00014656,0.00014656
34,32.8608,0.02758,1,1,0.00563,0.000142972,0.000142972,0.000142972
35,35.6259,0.02284,1,1,0.00421,0.00013889,0.00013889,0.00013889
36,37.8817,0.03842,1,1,0.00421,0.000134313,0.000134313,0.000134313
37,40.0008,0.09867,1,1,0.00358,0.00012924,0.00012924,0.00012924
38,42.2299,0.01241,1,1,0.00358,0.000123672,0.000123672,0.000123672
39,43.7319,0.01706,1,1,0.00323,0.00011761,0.00011761,0.00011761
40,44.6183,0.0246,1,1,0.00323,0.000111052,0.000111052,0.000111052
41,47.3759,0.01368,1,1,0.00304,0.000104,0.000104,0.000104
42,49.482,0.03152,1,1,0.00304,9.64525e-05,9.64525e-05,9.64525e-05
43,51.273,0.0103,1,1,0.00253,8.841e-05,8.841e-05,8.841e-05
44,53.1133,0.06551,1,1,0.00253,7.98725e-05,7.98725e-05,7.98725e-05
45,54.4683,0.01127,1,1,0.00224,7.084e-05,7.084e-05,7.084e-05
46,55.838,0.0112,1,1,0.00224,6.13125e-05,6.13125e-05,6.13125e-05
47,57.4822,0.01506,1,1,0.0024,5.129e-05,5.129e-05,5.129e-05
48,58.9253,0.01786,1,1,0.0024,4.07725e-05,4.07725e-05,4.07725e-05
49,60.1621,0.00936,1,1,0.00213,2.976e-05,2.976e-05,2.976e-05
50,61.8136,0.01792,1,1,0.00213,1.82525e-05,1.82525e-05,1.82525e-05
