epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.14981,1.58143,2.85092,2.07913,0.00333,1,0.21416,0.10575,0.40099,3.14888,1.06587,0,0,0
2,4.70498,1.06214,2.87427,1.56103,0.00333,1,0.28622,0.11476,0.39572,3.14026,1.06571,1.9604e-05,1.9604e-05,1.9604e-05
3,5.51294,1.13192,2.68395,1.57442,0.00333,1,0.43556,0.1589,0.40109,3.14492,1.07406,3.8416e-05,3.8416e-05,3.8416e-05
4,6.33394,1.1555,2.59088,1.47569,0.00333,1,0.56383,0.2563,0.41598,3.15169,1.06416,5.6436e-05,5.6436e-05,5.6436e-05
5,7.21221,1.13713,2.55357,1.58106,0.00333,1,0.675,0.44317,0.44189,3.15803,1.0567,7.3664e-05,7.3664e-05,7.3664e-05
6,8.08922,0.94997,2.49468,1.46023,0.00333,1,0.89786,0.64517,0.47309,3.11844,1.09155,9.01e-05,9.01e-05,9.01e-05
7,10.3637,0.84417,2.46393,1.38218,0.00333,1,0.92833,0.76203,0.49599,3.11122,1.11301,0.000105744,0.000105744,0.000105744
8,11.6569,1.07109,2.54202,1.45867,0.00333,1,0.96167,0.81179,0.52565,3.12324,1.1041,0.000120596,0.000120596,0.000120596
9,12.7613,0.92533,2.03777,1.25429,0.00333,1,0.995,0.78891,0.56014,3.12108,1.11139,0.000134656,0.000134656,0.000134656
10,13.3536,1.03196,2.14873,1.33241,0.00333,1,0.995,0.76894,0.62416,3.08895,1.17123,0.000147924,0.000147924,0.000147924
11,14.098,0.75988,1.97401,1.36328,0.00333,1,0.995,0.74585,0.68601,3.09581,1.24318,0.0001604,0.0001604,0.0001604
12,14.8606,0.86944,1.8752,1.18717,0.00333,1,0.995,0.70628,0.73309,3.02467,1.26291,0.000172084,0.000172084,0.000172084
13,15.8036,0.6742,1.50699,1.19396,0.00333,1,0.995,0.69032,0.7544,3.00098,1.21265,0.000182976,0.000182976,0.000182976
