epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,2.81166,1.75337,4.69147,2.73195,2.07126,0,0.00333,1,0.17397,0.10107,0.00333,1,0.13049,0.09908,0.44254,1.11515,3.16886,1.1176,0,0,0,0
2,3.75641,1.20504,3.66295,2.86655,1.62779,0,0.00333,1,0.21772,0.15131,0.00333,1,0.18066,0.15088,0.45887,1.10738,3.16666,1.12301,0,1.9901e-05,1.9901e-05,1.9901e-05
3,4.73712,1.66881,4.84838,2.69567,1.941,0,0.00333,1,0.34139,0.27279,0.00333,1,0.31939,0.27396,0.47594,1.04725,3.18576,1.13272,0,3.9604e-05,3.9604e-05,3.9604e-05
4,5.9047,0.96968,3.27893,2.45223,1.36006,0,0.00333,1,0.56397,0.419,0.00333,1,0.55952,0.42215,0.4766,0.99821,3.19033,1.13024,0,5.9109e-05,5.9109e-05,5.9109e-05
5,7.11276,1.17397,3.24382,2.60304,1.61438,0,0.00333,1,0.76167,0.56534,0.00333,1,0.76167,0.59273,0.50298,0.97256,3.18475,1.15461,0,7.8416e-05,7.8416e-05,7.8416e-05
6,8.52345,1.30407,3.33854,2.62672,1.7196,0,0.00333,1,0.85333,0.63262,0.00333,1,0.85333,0.66261,0.52344,0.99452,3.17232,1.16489,0,9.7525e-05,9.7525e-05,9.7525e-05
7,9.45321,0.88912,2.95554,2.75122,1.44476,0,0.00333,1,0.92833,0.68846,0.00333,1,0.92833,0.73644,0.5784,1.00411,3.23046,1.2072,0,0.000116436,0.000116436,0.000116436
8,10.4235,0.91915,2.51939,2.39735,1.39825,0,0.00333,1,0.92833,0.67893,0.00333,1,0.92833,0.74844,0.66246,1.00121,3.21322,1.23581,0,0.000135149,0.000135149,0.000135149
9,11.5558,0.94576,2.07503,2.05937,1.30344,0,0.00333,1,0.995,0.7156,0.00333,1,0.995,0.7316,0.74764,1.04198,3.23097,1.28021,0,0.000153664,0.000153664,0.000153664
10,12.8265,0.97493,2.43544,2.2394,1.43047,0,0.00333,1,0.96167,0.68326,0.00333,1,0.96167,0.64932,0.75195,1.27065,3.19411,1.27438,0,0.000171981,0.000171981,0.000171981
11,13.6577,1.15681,2.0613,2.48496,1.64329,0,0.00333,1,0.92833,0.62097,0.00333,1,0.92833,0.61216,0.76619,1.65169,3.19126,1.28757,0,0.0001901,0.0001901,0.0001901
